    ,code    ,time_key            ,open ,close,high ,low  ,pe_ratio,turnover_rate,volume ,turnover          ,change_rate         ,last_close,%k                ,%d                ,%j
49  ,HK.00700,2021-01-04  14:45:00,577.0,577.0,577.5,576.0,0.0     ,0.0          ,161500 ,93143500.0        ,0.0                 ,577.0     ,38.13224095598927 ,49.255823753297825,15.88507536137216
50  ,HK.00700,2021-01-04  14:50:00,577.0,576.5,577.5,576.5,0.0     ,0.0          ,140700 ,81170650.0        ,-0.08665511265164645,577.0     ,31.099177729759937,44.716660319443434,3.864212550392949
51  ,HK.00700,2021-01-04  14:55:00,577.0,577.0,577.5,576.5,0.0     ,0.0          ,129100 ,74502350.0        ,0.08673026886383348 ,576.5     ,28.324382413392446,40.61858953746593 ,3.735968165245481
52  ,HK.00700,2021-01-04  15:00:00,576.5,577.0,577.0,576.5,0.0     ,0.0          ,113600 ,65529850.0        ,0.0                 ,577.0     ,26.79884200112243 ,37.163651827936874,6.069222347493536
53  ,HK.00700,2021-01-04  15:05:00,577.0,577.0,577.0,576.5,0.0     ,0.0          ,129400 ,74639650.0        ,0.0                 ,577.0     ,25.654686851378838,34.28641006823099 ,8.391240417674524
54  ,HK.00700,2021-01-04  15:10:00,576.5,577.5,578.0,576.5,0.0     ,0.0          ,179600 ,103639150.0       ,0.08665511265164645 ,577.0     ,27.574348729852325,32.6083945081265  ,17.50625717330398
55  ,HK.00700,2021-01-04  15:15:00,577.5,576.5,578.0,576.5,0.0     ,0.0          ,170000 ,98165900.0        ,-0.17316017316017315,577.5     ,24.847427939201147,30.668152670332194,13.205978476939059
56  ,HK.00700,2021-01-04  15:20:00,577.0,578.0,578.5,576.5,0.0     ,0.0          ,228800 ,132168800.0       ,0.26019080659150046 ,576.5     ,35.302238411397   ,31.82667419317662 ,42.25336684783776
57  ,HK.00700,2021-01-04  15:25:00,578.5,578.0,579.0,578.0,0.0     ,0.0          ,163800 ,94766950.0        ,0.0                 ,578.0     ,43.14334591977472 ,34.65584228522898 ,60.11835318886618
58  ,HK.00700,2021-01-04  15:30:00,578.5,577.0,578.5,576.5,0.0     ,0.0          ,215100 ,124139050.0       ,-0.17301038062283736,578.0     ,37.3575091938052  ,35.33125904109316 ,41.410009499229275
59  ,HK.00700,2021-01-04  15:35:00,577.5,577.5,578.0,577.0,0.0     ,0.0          ,141900 ,81945400.0        ,0.08665511265164645 ,577.0     ,38.01813191642219 ,36.00297728134757 ,42.04844118657144
60  ,HK.00700,2021-01-04  15:40:00,577.0,578.0,578.0,576.0,0.0     ,0.0          ,312100 ,180044500.0       ,0.08658008658008658 ,577.5     ,45.180265775292035,38.29729945971083 ,58.94619840645444
61  ,HK.00700,2021-01-04  15:45:00,577.5,576.5,578.0,576.5,0.0     ,0.0          ,159200 ,91878550.0        ,-0.25951557093425603,578.0     ,38.0518658702593  ,38.23594106124723 ,37.68371548828344
62  ,HK.00700,2021-01-04  15:50:00,576.5,575.5,577.0,575.5,0.0     ,0.0          ,281600 ,162301900.0       ,-0.17346053772766695,576.5     ,28.53889927470461 ,35.81168058199496 ,13.993336660123902
63  ,HK.00700,2021-01-04  15:55:00,575.5,575.5,576.5,574.5,0.0     ,0.0          ,359300 ,206754400.0       ,0.0                 ,575.5     ,26.95972999564911 ,33.598692913077926,13.681804160791472
64  ,HK.00700,2021-01-04  16:00:00,576.0,572.5,577.0,572.5,0.0     ,0.0          ,1285800,737218100.0       ,-0.5212858384013901 ,575.5     ,20.219797445728904,30.25396902092774 ,0.15145429533123433
65  ,HK.00700,2021-01-05  09:35:00,572.0,570.0,572.5,565.5,0.0     ,0.0          ,1729900,987018100.0       ,-0.4366812227074236 ,572.5     ,23.498181436238163,28.56502211516886 ,13.364500078376778
66  ,HK.00700,2021-01-05  09:40:00,570.0,571.0,571.5,568.0,0.0     ,0.0          ,326800 ,186126300.0       ,0.17543859649122806 ,570.0     ,28.200559174119764,28.473906379518706,27.653864763321884
67  ,HK.00700,2021-01-05  09:45:00,571.0,567.0,571.0,566.5,0.0     ,0.0          ,420100 ,239180150.0       ,-0.7005253940455342 ,571.0     ,24.15041936765871 ,27.393034623102746,17.665188856770634
68  ,HK.00700,2021-01-05  09:50:00,566.5,569.0,569.0,566.0,0.0     ,0.0          ,449000 ,254700050.0       ,0.3527336860670194  ,567.0     ,25.112814528048553,26.82297959797416 ,21.692484388197343
69  ,HK.00700,2021-01-05  09:55:00,569.0,572.5,573.0,569.0,0.0     ,0.0          ,519100 ,295964300.0       ,0.6151142355008787  ,569.0     ,32.83461090990419 ,28.32588742865578 ,41.85205787240101
70  ,HK.00700,2021-01-05  10:00:00,572.5,572.5,573.0,570.0,0.0     ,0.0          ,248700 ,142036450.0       ,0.0                 ,572.5     ,39.84334949621636 ,31.20525294942427 ,57.119542589800545
71  ,HK.00700,2021-01-05  10:05:00,572.5,576.5,578.0,572.0,0.0     ,0.0          ,452500 ,260242950.0       ,0.6986899563318777  ,572.5     ,51.88251213432433 ,36.37456775087137 ,82.89840090123026
72  ,HK.00700,2021-01-05  10:10:00,576.5,580.0,580.0,575.5,0.0     ,0.0          ,434600 ,251403750.0       ,0.6071118820468343  ,576.5     ,63.911884109857375,43.25889684583383 ,105.21785863790447
73  ,HK.00700,2021-01-05  10:15:00,580.0,579.5,581.0,579.0,0.0     ,0.0          ,584000 ,338709500.0       ,-0.08620689655172414,580.0     ,70.51455824743528 ,50.07281220010614 ,111.39805034209354
74  ,HK.00700,2021-01-05  10:20:00,580.0,581.5,582.0,579.5,0.0     ,0.0          ,376300 ,218537050.0       ,0.3451251078515962  ,579.5     ,77.10466868838505 ,56.830776325055986,117.65245341504315
75  ,HK.00700,2021-01-05  10:25:00,581.5,581.5,581.5,580.5,0.0     ,0.0          ,372500 ,216465050.0       ,0.0                 ,581.5     ,82.04725151786862 ,63.13489512527417 ,119.8719643030575
76  ,HK.00700,2021-01-05  10:30:00,581.5,581.5,582.5,581.0,0.0     ,0.0          ,400200 ,232847150.0       ,0.0                 ,581.5     ,85.02028712396266 ,68.60624312625792 ,117.84837511937215
77  ,HK.00700,2021-01-05  10:35:00,582.0,582.5,583.0,581.5,0.0     ,0.0          ,370600 ,215780750.0       ,0.17196904557179707 ,581.5     ,87.87235820062763 ,73.42277189571634 ,116.77153081045023
78  ,HK.00700,2021-01-05  10:40:00,582.5,583.5,584.0,581.5,0.0     ,0.0          ,470300 ,274069500.0       ,0.17167381974248927 ,582.5     ,90.01141150790203 ,77.56993179932199 ,114.89437092506208
