,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,%k,%d,%j,MACD,MACD_signal,MACD_hist,CG,FL,FS,AMV0,XX01,UP_bound,LOW_bound,H1,H2,H3,H4,H5,JRH,JRL,MA_3,YTSL,CLOSE_1,CLOSE_2,VAR1,VAR1_REF,VAR2,VAR2_REF,VAR3,VAR3_REF,VAR4,VAR4_REF,VAR5,VAR5_REF,VAR6,VAR6_REF,VAR7,VAR7_REF,VAR8,VAR8_REF,VAR9,VAR9_REF,VARA,VARA_REF,VARB,VARB_REF,VARC,VARC_REF,VARD,VARD_REF,VARE,VARE_REF,VARF,VARF_REF,VAR10,VAR10_REF,VAR11,VAR11_REF,VAR12,VAR12_REF,VAR13,VAR13_REF,VAR14,VAR14_REF,VAR15,VAR15_REF,VAR16,VAR16_REF,VAR17,VAR17_REF,VAR18,VAR18_REF,VAR19,VAR1A,RED_HOLD,BLUE_WATCH
106,HK.09988,2020-06-08 00:00:00,214.6,212.4,214.6,210.8,27.936,0.00084,17992461,3820890251.0,0.0942507068803096,212.2,77.23225988463935,63.171368306979595,105.35404303995885,3.306535859094595,2.030371526269529,2.5523286656501316,203.3764705882353,203.3764705882353,203.3764705882353,3841390423.5,197.3564185174302,,,,,,,,212.4,212.2,211.86666666666665,212.86666666666665,212.2,211.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
107,HK.09988,2020-06-09 00:00:00,212.8,212.4,214.6,211.6,27.936,0.00107,23063431,4923939771.0,0.0,212.4,80.54324253252724,67.51433686336665,106.60105387084843,3.634947560170531,2.3512867330497293,2.567321654241603,204.28823529411764,204.28823529411764,204.28823529411764,4903285430.6,197.47738825921255,,,,,,,,212.4,212.4,212.33333333333334,212.70000000000002,212.4,212.2,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
108,HK.09988,2020-06-10 00:00:00,214.2,215.6,216.8,213.8,28.357,0.00089,19038860,4106913929.0,1.5065913370998063,212.4,84.19775448004067,71.68519126753526,109.22288090505151,4.1060969264246125,2.7022487717247063,2.8076963093998124,205.02941176470588,205.02941176470588,205.02941176470588,4091451013.9999995,197.57121136942678,,,,,,,,215.6,212.4,213.4666666666667,215.26666666666665,212.4,212.4,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
109,HK.09988,2020-06-11 00:00:00,218.0,213.0,220.6,211.8,28.015,0.00154,33036598,7170604189.0,-1.205936920222632,215.6,79.14357652353752,73.54978758153585,90.33115440754085,4.221030510510587,3.0060051194818826,2.4300507820574095,205.21764705882353,205.21764705882353,205.21764705882353,7119386869.0,197.69448851234608,,,,,,,,215.6,213.0,213.66666666666666,214.89999999999998,215.6,212.4,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
110,HK.09988,2020-06-12 00:00:00,208.2,212.0,214.0,207.4,27.883,0.00117,25058536,5304963065.0,-0.4694835680751174,213.0,74.16810893293743,73.70436791938626,75.09559096003977,4.183203198777278,3.241444735340962,1.8835169268726322,205.27647058823527,205.27647058823527,205.27647058823527,5264798413.599999,197.6386083032417,,,,,,,,213.0,212.0,213.53333333333333,210.9333333333333,213.0,215.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
111,HK.09988,2020-06-15 00:00:00,209.8,206.8,212.4,205.4,27.199,0.00148,31716109,6621760870.0,-2.45283018867924,212.0,57.92871327865028,69.76045425920222,34.26523131754641,3.6910797699403304,3.3313717422608358,0.7194160553589892,205.31176470588235,205.31176470588235,205.31176470588235,6606465504.700001,197.63285375218683,,,,,,,,212.0,206.8,210.6,208.00000000000003,212.0,213.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
112,HK.09988,2020-06-16 00:00:00,211.2,213.2,214.4,211.0,28.041,0.00084,18039173,3843338219.0,3.0947775628626584,206.8,56.27548232740873,66.38921127625383,36.04802442971854,3.773990704384971,3.4198955346856628,0.7081903393986169,206.19411764705885,206.19411764705885,206.19411764705885,3827912510.6,197.6389007938368,,,,,,,,213.2,206.8,210.66666666666666,212.70000000000002,206.8,212.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
113,HK.09988,2020-06-17 00:00:00,216.0,217.8,218.4,214.2,28.646,0.001,21385682,4641106088.0,2.1575984990619244,213.2,62.601348587661874,65.44224560410585,56.919554554773924,4.162892539583652,3.5684949356652607,1.1887952078367823,207.34705882352938,207.34705882352938,207.34705882352938,4638554425.8,197.67533280273955,,,,,,,,217.8,213.2,212.6,217.00000000000003,213.2,206.8,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
114,HK.09988,2020-06-18 00:00:00,218.8,217.8,218.8,215.2,28.646,0.00075,16168952,3508457243.0,0.0,217.8,67.34574828285172,65.91812127379232,70.20100230097049,4.420147338789661,3.738825416290141,1.3626438449990408,208.33529411764704,208.33529411764704,208.33529411764704,3529682221.6000004,197.63415187735907,,,,,,,,217.8,217.8,216.26666666666665,217.70000000000002,217.8,213.2,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
115,HK.09988,2020-06-19 00:00:00,217.0,219.0,219.8,216.2,28.804,0.00127,27295880,5963502386.0,0.5509641873278184,217.8,72.8777322647704,67.65802402153685,83.31714875123751,4.6670546904320815,3.9244712711185294,1.4851668386271042,209.61176470588236,209.61176470588236,209.61176470588236,5950501840.0,197.7136109941668,,,,,,,,219.0,217.8,218.20000000000002,218.33333333333334,217.8,217.8,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
